Palabra	 Nula[%]	 Baja[%] 	 Media[%]	 Alta[%]	 PFA	Categoría
lrascible	20	30	40	10	0.463	Enojo
majadero	20	0	50	30	0.63	Enojo
mal 	20	20	40	20	0.53	Enojo
maldición	10	20	30	40	0.664	Enojo
maldito	20	10	20	50	0.665	Enojo
malévolo	0	30	60	10	0.595	Enojo
malhumor	0	20	30	50	0.764	Enojo
malhumorado	0	10	40	50	0.797	Enojo
malicia	0	30	60	10	0.595	Enojo
maliciar	0	40	50	10	0.562	Enojo
malignidad	10	40	50	0	0.462	Enojo
maligno	10	20	70	0	0.528	Enojo
malo	0	30	70	0	0.561	Enojo
malpensado	40	20	40	0	0.33	Enojo
malquerencia	30	20	50	0	0.396	Enojo
malvadamente	10	30	60	0	0.495	Enojo
malvado	0	30	60	10	0.595	Enojo
manía	60	10	30	0	0.231	Enojo
martirio	50	20	20	10	0.298	Enojo
martirizar	30	30	30	10	0.397	Enojo
misoneísmo	70	30	0	0	0.099	Enojo
mohíno	30	20	20	30	0.498	Enojo
molestar	10	0	60	30	0.696	Enojo
molesto	10	0	60	30	0.696	Enojo
molestoso	10	0	60	30	0.696	Enojo
mortificar	30	30	30	10	0.397	Enojo
mosconear	50	20	10	20	0.332	Enojo
nervioso	50	50	0	0	0.165	Enojo
obstaculizar	50	30	20	0	0.231	Enojo
odiar	0	0	20	80	0.932	Enojo
odio	0	0	20	80	0.932	Enojo
ofensa	0	20	30	50	0.764	Enojo
ofensividad	0	10	60	30	0.729	Enojo
ofensivo	0	20	50	30	0.696	Enojo
ojeriza	30	10	60	0	0.429	Enojo
opresión	10	60	30	0	0.396	Enojo
pelea	0	20	40	40	0.73	Enojo
pendenciar	30	10	50	10	0.463	Enojo
pendenciero	30	10	50	10	0.463	Enojo
pernicioso	30	20	50	0	0.396	Enojo
perseguir	30	60	10	0	0.264	Enojo
pesado	50	20	30	0	0.264	Enojo
pestilente	50	30	10	10	0.265	Enojo
picar	70	20	10	0	0.132	Enojo
pique	20	30	50	0	0.429	Enojo
prender	50	30	20	0	0.231	Enojo
provocación	0	30	70	0	0.561	Enojo
provocar	0	40	60	0	0.528	Enojo
puchero	40	50	10	0	0.231	Enojo
pugna	60	20	20	0	0.198	Enojo
pugnante	60	30	10	0	0.165	Enojo
punzar	50	50	0	0	0.165	Enojo
quejar	10	10	80	0	0.561	Enojo
querellar	10	30	50	10	0.529	Enojo
quicio	10	20	50	20	0.596	Enojo
rabia	0	0	30	70	0.898	Enojo
rabiosamente	0	0	40	60	0.864	Enojo
rabioso	0	10	40	50	0.797	Enojo
regañadientes	0	0	80	20	0.728	Enojo
regaño	0	10	60	30	0.729	Enojo
rencilloso	20	20	50	10	0.496	Enojo
rencor	0	20	30	50	0.764	Enojo
rencorosamente	0	20	40	40	0.73	Enojo
rencoroso	0	20	30	50	0.764	Enojo
repudiar	0	0	30	70	0.898	Enojo
repugnancia	10	10	20	60	0.765	Enojo
repugnar	0	20	20	60	0.798	Enojo
resentido	0	30	20	50	0.731	Enojo
resentimiento	0	30	20	50	0.731	Enojo
resentir	0	40	10	50	0.698	Enojo
respingar	10	60	30	0	0.396	Enojo
resquemor	50	20	20	10	0.298	Enojo
retar	20	40	40	0	0.396	Enojo
revancha	30	40	30	0	0.33	Enojo
riña	0	20	30	50	0.764	Enojo
rivalidad	0	30	60	10	0.595	Enojo
saña	0	10	50	40	0.763	Enojo
sañoso	10	10	60	20	0.629	Enojo
suplicio	50	20	20	10	0.298	Enojo
tenso	40	40	20	0	0.264	Enojo
tirria	30	10	50	10	0.463	Enojo
torear	40	30	30	0	0.297	Enojo
tormento	40	30	10	20	0.365	Enojo
tropelía	30	50	20	0	0.297	Enojo
ultrajar	0	30	60	10	0.595	Enojo
ultraje	0	40	40	20	0.596	Enojo
vejación	0	50	40	10	0.529	Enojo
vejar	10	40	20	30	0.564	Enojo
venganza	0	0	40	60	0.864	Enojo
vengar	0	0	40	60	0.864	Enojo
vengativo	0	0	40	60	0.864	Enojo
vesania	10	20	20	50	0.698	Enojo
vesánico	20	10	20	50	0.665	Enojo
vilipendiar	10	30	50	10	0.529	Enojo
vilipendio	20	20	50	10	0.496	Enojo
vinagre	70	10	20	0	0.165	Enojo
violencia	0	0	20	80	0.932	Enojo
violento	0	0	20	80	0.932	Enojo
viperino	70	20	10	0	0.132	Enojo
vituperio	40	40	20	0	0.264	Enojo
voraz	40	50	10	0	0.231	Enojo
zaherir	30	20	50	0	0.396	Enojo
abominable	0	10	40	50	0.797	Miedo
accidente	0	20	50	30	0.696	Miedo
acobardar	0	10	20	70	0.865	Miedo
acomplejado	0	50	20	30	0.597	Miedo
acoquinamiento	10	40	10	40	0.598	Miedo
acoquinar	0	10	30	60	0.831	Miedo
agüero	40	30	30	0	0.297	Miedo
ahuyentar	0	20	50	30	0.696	Miedo
alarma	0	40	40	20	0.596	Miedo
alarmado	0	10	70	20	0.695	Miedo
alarmante	0	30	60	10	0.595	Miedo
alarmar	0	40	30	30	0.63	Miedo
alertar	10	40	30	20	0.53	Miedo
alma	80	20	0	0	0.066	Miedo
amedentrar	0	0	30	70	0.898	Miedo
amedrentador	0	10	30	60	0.831	Miedo
amedrentamiento	0	10	30	60	0.831	Miedo
amenazar	0	10	20	70	0.865	Miedo
amilanar	0	10	30	60	0.831	Miedo
angustia	0	10	40	50	0.797	Miedo
angustiado	0	10	30	60	0.831	Miedo
angustiosamente	0	10	30	60	0.831	Miedo
ansioso	40	40	20	0	0.264	Miedo
aprensión	30	30	30	10	0.397	Miedo
aprensivo	30	40	20	10	0.364	Miedo
araña 	20	30	40	10	0.463	Miedo
arredrar	20	30	40	10	0.463	Miedo
asesinar	0	20	40	40	0.73	Miedo
asustadizo	0	0	40	60	0.864	Miedo
asustar	0	0	40	60	0.864	Miedo
atemorizado	0	0	20	80	0.932	Miedo
atemorizante	0	0	20	80	0.932	Miedo
atemorizar	0	0	20	80	0.932	Miedo
atento	80	10	10	0	0.099	Miedo
aterrado	0	0	10	90	0.966	Miedo
aterrador	0	0	0	100	1	Miedo
aterradoramente	0	0	0	100	1	Miedo
aterrar	0	0	0	100	1	Miedo
aterrorizador	0	0	10	90	0.966	Miedo
aterrorizar	0	0	10	90	0.966	Miedo
atroz	0	20	50	30	0.696	Miedo
avergonzado	40	30	30	0	0.297	Miedo
avergonzar	30	40	30	0	0.33	Miedo
azoramiento	10	30	50	10	0.529	Miedo
azorar	0	20	50	30	0.696	Miedo
barbarie	10	50	30	10	0.463	Miedo
bruja	0	50	50	0	0.495	Miedo
brujo	0	50	50	0	0.495	Miedo
cadaver	0	30	30	40	0.697	Miedo
calaca	10	40	50	0	0.462	Miedo
calamidad	10	60	30	0	0.396	Miedo
calamitoso	20	50	30	0	0.363	Miedo
calofrío	10	50	30	10	0.463	Miedo
cohibición	20	30	40	10	0.463	Miedo
cohibidamente	20	40	30	10	0.43	Miedo
cohibir	10	40	40	10	0.496	Miedo
confuso	70	30	0	0	0.099	Miedo
conminar	20	10	60	10	0.529	Miedo
convulsión	30	40	30	0	0.33	Miedo
cortar	30	50	20	0	0.297	Miedo
cortedad	60	30	10	0	0.165	Miedo
cruento	20	60	20	0	0.33	Miedo
demonio	0	40	30	30	0.63	Miedo
desesperado	30	40	30	0	0.33	Miedo
desfallecer	30	40	20	10	0.364	Miedo
desfallecimiento	20	40	30	10	0.43	Miedo
desgracia	0	30	50	20	0.629	Miedo
desmayar	10	70	20	0	0.363	Miedo
desorientado	60	40	0	0	0.132	Miedo
despavorir	0	0	40	60	0.864	Miedo
despeluznante	0	10	30	60	0.831	Miedo
despeluznar	0	20	50	30	0.696	Miedo
despiadadamente	0	30	40	30	0.663	Miedo
despiadado	0	30	40	30	0.663	Miedo
diablo	0	40	20	40	0.664	Miedo
encoger	40	30	0	30	0.399	Miedo
enfriar	80	20	0	0	0.066	Miedo
escalofrío	0	20	40	40	0.73	Miedo
espantable	0	10	30	60	0.831	Miedo
espantadizo	0	10	10	80	0.899	Miedo
espantar	0	10	10	80	0.899	Miedo
espanto	0	10	10	80	0.899	Miedo
espantoso	0	10	10	80	0.899	Miedo
espeluznante	0	0	20	80	0.932	Miedo
espeluznar	0	0	20	80	0.932	Miedo
esperpento	10	30	50	10	0.529	Miedo
espiritu	50	30	20	0	0.231	Miedo
estremecer	0	20	70	10	0.628	Miedo
execrable	20	30	50	0	0.429	Miedo
exorcismo	0	30	50	20	0.629	Miedo
fantasma	10	20	50	20	0.596	Miedo
fealdad	10	60	30	0	0.396	Miedo
feo	20	70	10	0	0.297	Miedo
fobia	0	0	20	80	0.932	Miedo
frío	70	30	0	0	0.099	Miedo
friolero	70	30	0	0	0.099	Miedo
gallina	50	30	10	10	0.265	Miedo
hechizo	10	90	0	0	0.297	Miedo
helado	80	10	10	0	0.099	Miedo
helar	90	10	0	0	0.033	Miedo
histeria	10	20	60	10	0.562	Miedo
histéricamente	20	20	50	10	0.496	Miedo
histérico	30	10	40	20	0.497	Miedo
histerismo	30	10	50	10	0.463	Miedo
horrendamente	0	30	20	50	0.731	Miedo
horrendo	0	20	30	50	0.764	Miedo
horrible	0	0	50	50	0.83	Miedo
horriblemente	0	0	50	50	0.83	Miedo
hórrido	0	30	20	50	0.731	Miedo
horrificar	0	20	20	60	0.798	Miedo
horripilación	0	20	20	60	0.798	Miedo
horripilante	0	10	30	60	0.831	Miedo
horripilar	0	20	20	60	0.798	Miedo
horrísono	0	30	40	30	0.663	Miedo
horror	0	0	10	90	0.966	Miedo
horrorizado	0	0	30	70	0.898	Miedo
horrorizante	0	0	30	70	0.898	Miedo
horrorizar	0	0	30	70	0.898	Miedo
horrorosamente	0	10	30	60	0.831	Miedo
horroroso	0	10	20	70	0.865	Miedo
huidizo	10	0	40	50	0.764	Miedo
impotente	20	40	40	0	0.396	Miedo
incertidumbre	0	80	20	0	0.396	Miedo
indeciso	30	50	10	10	0.331	Miedo
inquietantemente	20	20	50	10	0.496	Miedo
inquietar	20	30	40	10	0.463	Miedo
inquieto	20	60	10	10	0.364	Miedo
insecto	40	40	10	10	0.298	Miedo
inseguro	20	70	0	10	0.331	Miedo
intimidación	0	30	50	20	0.629	Miedo
intimidar	0	30	60	10	0.595	Miedo
intrinquilo	10	40	40	10	0.496	Miedo
lengüicorto	10	70	10	10	0.397	Miedo
maldad	10	20	50	20	0.596	Miedo
maligno	0	20	30	50	0.764	Miedo
malo	10	10	50	30	0.663	Miedo
medrana	0	10	40	50	0.797	Miedo
medroso	0	10	30	60	0.831	Miedo
mieditis	0	10	30	60	0.831	Miedo
miedo	0	0	20	80	0.932	Miedo
miedo 	0	0	20	80	0.932	Miedo
miedoso	0	0	20	80	0.932	Miedo
monstruosamente	0	10	40	50	0.797	Miedo
monstruoso	0	10	30	60	0.831	Miedo
mortuorio	0	20	30	50	0.764	Miedo
mounstro	0	10	40	50	0.797	Miedo
muerte	0	10	20	70	0.865	Miedo
neblina	40	20	40	0	0.33	Miedo
niebla	50	10	30	10	0.331	Miedo
nublar	70	30	0	0	0.099	Miedo
ominar	50	30	20	0	0.231	Miedo
palidecer	10	40	30	20	0.53	Miedo
palido	0	50	40	10	0.529	Miedo
pánico	0	0	30	70	0.898	Miedo
panteón	0	40	40	20	0.596	Miedo
pávido	0	10	50	40	0.763	Miedo
pavor	0	0	30	70	0.898	Miedo
pavorosamente	0	0	50	50	0.83	Miedo
pavoroso	0	0	50	50	0.83	Miedo
pena	20	60	20	0	0.33	Miedo
penumbra	20	20	50	10	0.496	Miedo
poseído	10	20	40	30	0.63	Miedo
premonición	20	60	20	0	0.33	Miedo
preocupación	10	30	50	10	0.529	Miedo
preocupadamente	10	30	40	20	0.563	Miedo
preocupado	20	20	40	20	0.53	Miedo
pusilánime	30	40	20	10	0.364	Miedo
pusilanimidad	30	40	20	10	0.364	Miedo
rata	40	50	10	0	0.231	Miedo
recelo	20	30	20	30	0.531	Miedo
receloso	20	30	30	20	0.497	Miedo
rodeor	30	70	0	0	0.231	Miedo
sangre	10	60	30	0	0.396	Miedo
sangriento	10	40	40	10	0.496	Miedo
sanguinario	10	10	60	20	0.629	Miedo
satan	20	10	30	40	0.631	Miedo
secuestro	0	30	10	60	0.765	Miedo
sevicia	0	50	50	0	0.495	Miedo
sobrecoger	0	10	60	30	0.729	Miedo
sobrecogimiento	0	10	60	30	0.729	Miedo
sobresaltar	0	10	60	30	0.729	Miedo
sombra	30	60	10	0	0.264	Miedo
suspenso	0	20	70	10	0.628	Miedo
susto	0	0	40	60	0.864	Miedo
temblor	10	20	60	10	0.562	Miedo
temer	0	0	20	80	0.932	Miedo
temerosamente	0	0	40	60	0.864	Miedo
temeroso	0	0	30	70	0.898	Miedo
temible	0	0	20	80	0.932	Miedo
temor	0	0	20	80	0.932	Miedo
temorosamente	0	0	40	60	0.864	Miedo
tenso	0	60	30	10	0.496	Miedo
terremoto	10	30	20	40	0.631	Miedo
terrible	0	0	30	70	0.898	Miedo
terriblemente	0	0	60	40	0.796	Miedo
terror	0	0	10	90	0.966	Miedo
terrorífico	0	0	30	70	0.898	Miedo
tímidamente	0	40	40	20	0.596	Miedo
timidez	10	50	20	20	0.497	Miedo
tímido	10	50	10	30	0.531	Miedo
timorato	10	30	20	40	0.631	Miedo
tragedia	10	10	80	0	0.561	Miedo
tremebundo	10	10	30	50	0.731	Miedo
tremendo	20	20	30	30	0.564	Miedo
ultimatum	20	70	10	0	0.297	Miedo
ultratumba	0	30	40	30	0.663	Miedo
verecundia	40	40	20	0	0.264	Miedo
verecundio	40	40	20	0	0.264	Miedo
verecundo	40	40	20	0	0.264	Miedo
vergonzoso	20	40	40	0	0.396	Miedo
vitando	30	30	30	10	0.397	Miedo
abominablemente	0	20	40	40	0.73	Repulsión
abominar	0	10	40	50	0.797	Repulsión
aborrecer	0	0	10	90	0.966	Repulsión
aborrecible	0	0	10	90	0.966	Repulsión
aborrecimiento 	0	0	10	90	0.966	Repulsión
abusar	10	10	40	40	0.697	Repulsión
adversión 	30	10	40	20	0.497	Repulsión
alergia 	30	30	30	10	0.397	Repulsión
ampolla	30	10	40	20	0.497	Repulsión
animadversión 	10	20	30	40	0.664	Repulsión
animosidad 	40	30	30	0	0.297	Repulsión
antipatía 	0	20	60	20	0.662	Repulsión
antipático	0	0	80	20	0.728	Repulsión
apestar	0	10	30	60	0.831	Repulsión
apestoso	0	10	10	80	0.899	Repulsión
aprensión 	10	30	50	10	0.529	Repulsión
araña	20	30	50	0	0.429	Repulsión
asco 	0	0	10	90	0.966	Repulsión
asqueadamente	0	0	20	80	0.932	Repulsión
asquear	0	0	20	80	0.932	Repulsión
asquerosamente	0	0	10	90	0.966	Repulsión
asqueroso	0	0	0	100	1	Repulsión
astroso	10	10	60	20	0.629	Repulsión
aversión	10	10	60	20	0.629	Repulsión
basca	0	10	20	70	0.865	Repulsión
bascosidad	0	20	20	60	0.798	Repulsión
bascoso	10	20	30	40	0.664	Repulsión
basura	0	0	60	40	0.796	Repulsión
birria	30	50	10	10	0.331	Repulsión
borracho	10	30	40	20	0.563	Repulsión
caca	0	0	30	70	0.898	Repulsión
carroña	0	0	40	60	0.864	Repulsión
cicatriz	20	40	40	0	0.396	Repulsión
coágulo	30	30	30	10	0.397	Repulsión
cochino	0	40	50	10	0.562	Repulsión
cocolía 	10	30	20	40	0.631	Repulsión
contaminar	0	40	30	30	0.63	Repulsión
corromper	10	20	50	20	0.596	Repulsión
cortar	70	10	20	0	0.165	Repulsión
desagradable	0	0	30	70	0.898	Repulsión
desagradablemente	0	10	30	60	0.831	Repulsión
desagrado	0	20	20	60	0.798	Repulsión
desasosegar	50	20	20	10	0.298	Repulsión
descomposicón	0	10	50	40	0.763	Repulsión
deshonrar	0	40	30	30	0.63	Repulsión
desperdicio	0	40	50	10	0.562	Repulsión
detestable	0	0	10	90	0.966	Repulsión
detestablemente	0	0	20	80	0.932	Repulsión
detestación	0	0	20	80	0.932	Repulsión
diarrea	0	30	30	40	0.697	Repulsión
disgustar	10	10	70	10	0.595	Repulsión
disgusto	10	10	70	10	0.595	Repulsión
distanciamiento	30	30	40	0	0.363	Repulsión
empalagamiento	30	40	30	0	0.33	Repulsión
empalagar	30	40	30	0	0.33	Repulsión
empalagoso	30	30	40	0	0.363	Repulsión
emporcar	0	30	60	10	0.595	Repulsión
enfermedad	20	30	40	10	0.463	Repulsión
enfermizo	20	20	50	10	0.496	Repulsión
enfermo	20	20	30	30	0.564	Repulsión
ensuciar	0	20	60	20	0.662	Repulsión
envilecer	10	0	30	60	0.798	Repulsión
escrúpulo 	30	40	30	0	0.33	Repulsión
espanto	50	20	30	0	0.264	Repulsión
estiércol	0	20	40	40	0.73	Repulsión
excremento 	0	20	20	60	0.798	Repulsión
execrable	0	10	50	40	0.763	Repulsión
execrablemente	0	10	50	40	0.763	Repulsión
fastidiar	10	40	30	20	0.53	Repulsión
fastidio	10	30	30	30	0.597	Repulsión
fétido	0	0	30	70	0.898	Repulsión
fila 	50	20	0	30	0.366	Repulsión
fobia 	10	10	50	30	0.663	Repulsión
gases	0	30	40	30	0.663	Repulsión
gelatinoso	30	70	0	0	0.231	Repulsión
grima	0	30	50	20	0.629	Repulsión
guácala	0	0	10	90	0.966	Repulsión
gusano	20	20	60	0	0.462	Repulsión
harto	20	30	30	20	0.497	Repulsión
hastiar	10	20	50	20	0.596	Repulsión
hastío	10	30	40	20	0.563	Repulsión
hediondo	0	0	40	60	0.864	Repulsión
herida	30	40	30	0	0.33	Repulsión
hincha 	10	20	30	40	0.664	Repulsión
hinchado	30	10	20	40	0.565	Repulsión
hongos	30	20	50	0	0.396	Repulsión
horrendo	0	30	20	50	0.731	Repulsión
horrible	0	20	30	50	0.764	Repulsión
horripilación	0	30	30	40	0.697	Repulsión
horror	0	20	30	50	0.764	Repulsión
horroroso	0	20	30	50	0.764	Repulsión
hostil	30	20	20	30	0.498	Repulsión
impúdico	20	20	50	10	0.496	Repulsión
impuro	10	30	30	30	0.597	Repulsión
incasto	30	20	40	10	0.43	Repulsión
indecente	10	20	40	30	0.63	Repulsión
indecoroso	20	10	50	20	0.563	Repulsión
indisponer	30	40	20	10	0.364	Repulsión
infame	10	20	40	30	0.63	Repulsión
infección	20	30	20	30	0.531	Repulsión
infecto	0	40	20	40	0.664	Repulsión
infrahumano	30	30	20	20	0.431	Repulsión
inframundo	10	30	30	30	0.597	Repulsión
injuriante	30	20	20	30	0.498	Repulsión
injuriar	10	30	30	30	0.597	Repulsión
injurioso	10	30	30	30	0.597	Repulsión
inmoral	20	20	20	40	0.598	Repulsión
inmundo	0	0	20	80	0.932	Repulsión
inquina 	10	30	10	50	0.665	Repulsión
insubordinar	30	50	0	20	0.365	Repulsión
insultante	10	0	50	40	0.73	Repulsión
insulto	10	0	40	50	0.764	Repulsión
insurrección	50	20	30	0	0.264	Repulsión
insurreccionar	50	20	30	0	0.264	Repulsión
intranquilo	70	20	10	0	0.132	Repulsión
lepra	10	10	20	60	0.765	Repulsión
licencioso	10	20	40	30	0.63	Repulsión
mal	20	20	20	40	0.598	Repulsión
malasangre	0	20	20	60	0.798	Repulsión
malquerencia 	0	20	20	60	0.798	Repulsión
malvado	0	20	20	60	0.798	Repulsión
mancha	10	40	40	10	0.496	Repulsión
manía	30	60	10	0	0.264	Repulsión
marrano	0	40	20	40	0.664	Repulsión
mefítico	10	20	30	40	0.664	Repulsión
moco	0	20	20	60	0.798	Repulsión
mórbido	50	0	30	20	0.398	Repulsión
morboso	0	20	40	40	0.73	Repulsión
mosca	20	30	20	30	0.531	Repulsión
mugre	0	40	0	60	0.732	Repulsión
náusea	0	10	20	70	0.865	Repulsión
nauseabundamente	0	10	30	60	0.831	Repulsión
nauseabundo	0	10	20	70	0.865	Repulsión
nausear	0	10	30	60	0.831	Repulsión
náuseas	0	0	30	70	0.898	Repulsión
nefasto	0	10	30	60	0.831	Repulsión
obsceno	10	0	40	50	0.764	Repulsión
odio 	0	20	30	50	0.764	Repulsión
odiosamente	0	20	40	40	0.73	Repulsión
odioso	0	20	30	50	0.764	Repulsión
ofender	0	30	30	40	0.697	Repulsión
ofensivo	0	30	30	40	0.697	Repulsión
ojeriza 	0	20	60	20	0.662	Repulsión
oponer	30	30	40	0	0.363	Repulsión
orina	10	30	40	20	0.563	Repulsión
patológico	50	20	10	20	0.332	Repulsión
pecaminoso	20	40	20	20	0.464	Repulsión
pedo 	0	10	20	70	0.865	Repulsión
pérfido	10	20	0	70	0.766	Repulsión
perinquina 	0	10	50	40	0.763	Repulsión
perverso	10	20	20	50	0.698	Repulsión
pervertir	10	20	20	50	0.698	Repulsión
pésimo	0	40	30	30	0.63	Repulsión
peste	0	0	40	60	0.864	Repulsión
pestilente	0	0	40	60	0.864	Repulsión
podrido	0	10	40	50	0.797	Repulsión
podrir	0	20	30	50	0.764	Repulsión
popo	0	10	40	50	0.797	Repulsión
pornográfico	0	30	40	30	0.663	Repulsión
procaz	20	30	10	40	0.565	Repulsión
protervo	10	20	30	40	0.664	Repulsión
puaf	70	10	20	0	0.165	Repulsión
puercamente	0	0	40	60	0.864	Repulsión
puerco	0	10	50	40	0.763	Repulsión
pus	0	30	10	60	0.765	Repulsión
putrefacción	0	10	20	70	0.865	Repulsión
putrefacción	0	10	20	70	0.865	Repulsión
putrido 	0	10	20	70	0.865	Repulsión
rabia	0	10	50	40	0.763	Repulsión
rastrero	20	20	30	30	0.564	Repulsión
rata	20	30	20	30	0.531	Repulsión
rechazamiento	10	20	30	40	0.664	Repulsión
rechazar	0	20	40	40	0.73	Repulsión
rechazo	0	20	50	30	0.696	Repulsión
reherir	10	10	60	20	0.629	Repulsión
rencor 	0	0	50	50	0.83	Repulsión
repeler	0	30	30	40	0.697	Repulsión
repelo 	10	20	30	40	0.664	Repulsión
repudiable	0	0	30	70	0.898	Repulsión
repudiar	0	0	30	70	0.898	Repulsión
repudio	0	0	30	70	0.898	Repulsión
repugnadamente	0	0	20	80	0.932	Repulsión
repugnancia 	0	0	20	80	0.932	Repulsión
repugnante	0	0	20	80	0.932	Repulsión
repugnantemente	0	0	20	80	0.932	Repulsión
repugnar	0	0	20	80	0.932	Repulsión
repulsar	0	0	20	80	0.932	Repulsión
repulsión 	0	0	10	90	0.966	Repulsión
repulsivamente	0	0	0	100	1	Repulsión
repulsivo	0	0	0	100	1	Repulsión
rufián	0	30	30	40	0.697	Repulsión
ruin	0	30	20	50	0.731	Repulsión
sangre	30	40	20	10	0.364	Repulsión
sangriento	10	40	40	10	0.496	Repulsión
secreción	10	10	40	40	0.697	Repulsión
sórdido	0	30	30	40	0.697	Repulsión
submundo	20	40	10	30	0.498	Repulsión
sucio	0	20	40	40	0.73	Repulsión
tirria 	0	30	50	20	0.629	Repulsión
tripas	10	50	30	10	0.463	Repulsión
ultrajante	0	40	40	20	0.596	Repulsión
usgo	0	30	10	60	0.765	Repulsión
vejar	0	40	20	40	0.664	Repulsión
vil	0	20	50	30	0.696	Repulsión
víscera	10	30	20	40	0.631	Repulsión
viscoso	20	40	20	20	0.464	Repulsión
vomito	0	10	10	80	0.899	Repulsión
zaherir	0	30	30	40	0.697	Repulsión
zahiriente	0	30	20	50	0.731	Repulsión
abierto	50	20	20	10	0.298	Sorpresa
abobamiento	60	30	0	10	0.199	Sorpresa
abobar	50	20	20	10	0.298	Sorpresa
acertijo	20	30	20	30	0.531	Sorpresa
acojonante	10	0	50	40	0.73	Sorpresa
adivinanza	30	20	20	30	0.498	Sorpresa
admirable	10	0	50	40	0.73	Sorpresa
admirablemente	10	10	50	30	0.663	Sorpresa
admiracion	20	0	40	40	0.664	Sorpresa
admiración	10	0	40	50	0.764	Sorpresa
admirar	10	0	50	40	0.73	Sorpresa
agenciar	60	20	20	0	0.198	Sorpresa
alcanzar	50	30	10	10	0.265	Sorpresa
alelamiento	40	60	0	0	0.198	Sorpresa
alelar	60	40	0	0	0.132	Sorpresa
anonadamiento	10	10	20	60	0.765	Sorpresa
anonadar	10	10	30	50	0.731	Sorpresa
apoteósico	20	20	20	40	0.598	Sorpresa
arrocinar	60	30	10	0	0.165	Sorpresa
asombramiento	0	0	20	80	0.932	Sorpresa
asombrar	0	0	10	90	0.966	Sorpresa
asombro	0	0	10	90	0.966	Sorpresa
asombrosamente	0	0	10	90	0.966	Sorpresa
asombroso	0	0	10	90	0.966	Sorpresa
atarantar	70	20	10	0	0.132	Sorpresa
atolondrar	60	30	0	10	0.199	Sorpresa
atónito	10	10	10	70	0.799	Sorpresa
atontamiento	50	40	0	10	0.232	Sorpresa
atontar	50	40	0	10	0.232	Sorpresa
atrapar	30	10	50	10	0.463	Sorpresa
atronar	50	30	10	10	0.265	Sorpresa
aturdimiento	50	50	0	0	0.165	Sorpresa
aturdir	50	50	0	0	0.165	Sorpresa
aturrullar	60	30	10	0	0.165	Sorpresa
aturullar	60	30	10	0	0.165	Sorpresa
batir	90	0	10	0	0.066	Sorpresa
bizco	60	10	20	10	0.265	Sorpresa
bobalicón	80	20	0	0	0.066	Sorpresa
bobo	70	30	0	0	0.099	Sorpresa
bombo	40	30	20	10	0.331	Sorpresa
boquiabierto	10	10	10	70	0.799	Sorpresa
bruto	70	10	20	0	0.165	Sorpresa
chasco	50	10	10	30	0.399	Sorpresa
coger	20	30	50	0	0.429	Sorpresa
confundir	30	60	10	0	0.264	Sorpresa
confusión	30	60	10	0	0.264	Sorpresa
conmoción	10	30	20	40	0.631	Sorpresa
conmocionar	0	30	40	30	0.663	Sorpresa
conseguir	40	20	40	0	0.33	Sorpresa
consternación	20	30	40	10	0.463	Sorpresa
consternar	30	20	40	10	0.43	Sorpresa
conturbar	20	20	10	50	0.632	Sorpresa
descomunalmente	0	20	20	60	0.798	Sorpresa
desconcertar	10	20	30	40	0.664	Sorpresa
desconcierto	20	10	30	40	0.631	Sorpresa
descuidar	30	30	40	0	0.363	Sorpresa
deslumbramiento	10	30	30	30	0.597	Sorpresa
deslumbrantemente	0	40	20	40	0.664	Sorpresa
deslumbrar	0	40	20	40	0.664	Sorpresa
desmayar	10	40	30	20	0.53	Sorpresa
desmayo	10	40	30	20	0.53	Sorpresa
despampanante	10	10	0	80	0.833	Sorpresa
despistar	40	30	30	0	0.297	Sorpresa
desprevenido	0	10	80	10	0.661	Sorpresa
distraído	30	10	50	10	0.463	Sorpresa
embobamiento	60	40	0	0	0.132	Sorpresa
embobar	70	30	0	0	0.099	Sorpresa
embobecer	60	30	10	0	0.165	Sorpresa
embrutecer	70	10	20	0	0.165	Sorpresa
encandilar	10	30	30	30	0.597	Sorpresa
enigma	30	10	20	40	0.565	Sorpresa
enmudecer	20	0	40	40	0.664	Sorpresa
entontecer	50	40	10	0	0.198	Sorpresa
entontecimiento	70	30	0	0	0.099	Sorpresa
espantar	0	10	30	60	0.831	Sorpresa
espanto	0	10	30	60	0.831	Sorpresa
estólido	70	30	0	0	0.099	Sorpresa
estrellas	60	20	10	10	0.232	Sorpresa
estruendo	20	30	30	20	0.497	Sorpresa
estupefacción	10	0	30	60	0.798	Sorpresa
estupefacto	0	10	10	80	0.899	Sorpresa
estupendamente	10	20	30	40	0.664	Sorpresa
estupendo	10	20	20	50	0.698	Sorpresa
estúpido	70	30	0	0	0.099	Sorpresa
estupor	0	30	10	60	0.765	Sorpresa
exclamación	30	10	40	20	0.497	Sorpresa
extrañar	50	40	10	0	0.198	Sorpresa
extrañeza	20	40	20	20	0.464	Sorpresa
extraordinario	20	10	20	50	0.665	Sorpresa
fabuloso	10	30	30	30	0.597	Sorpresa
fantásticamente	0	20	50	30	0.696	Sorpresa
fantástico	0	10	50	40	0.763	Sorpresa
fascinacion	10	10	50	30	0.663	Sorpresa
fascinante	0	20	40	40	0.73	Sorpresa
frustrar	70	10	20	0	0.165	Sorpresa
golpe	60	10	20	10	0.265	Sorpresa
